Incident,Summary,label
SERVICE Suspicious Circumstances,A security guard reported that she was assaulted by her boyfriend earlier in the day at her residence and the subject later attempted to approach her while she was stationed at the location. The guard contacted her supervisor and the boyfriend was subsequently detained. The boyfriend was then turned over to LAPD officers for questioning.,2
IDENTITY THEFT Identity Theft,A student reported that he lost his wallet and a suspect subsequently used a credit card inside it to make a purchase at the location.,3
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Welfare Check,A welfare check was conducted on a student at the location and he was subsequently transported to a local hospital for psychiatric evaluation.,2
SERVICE Injury Response,A student was transported to a local hospital for medical treatment after sustaining a possible concussion.,2
ASSAULT Assault-Other Dangerous Weapon,"A student reported that he was struck by a vehicle while riding his bicycle near the location and while he was standing in front of the vehicle to take down the license plate number the driver threatened him and intentionally drove toward him, striking the bike again. The subject then drove away. The student was not injured and his bike was not damaged.",4
SERVICE Illness Response,A student was examined and released at the scene after fainting.,2
TRAFFIC Traffic Collision-Bicycle,A student on a skateboard collided with a student on a bicycle near the location. One of the students sustained a cut above his eye and was transported to a local hospital for medical treatment. The second student sustained an unspecified head injury and was transported to SHC for medical treatment.,2
PROPERTY Damaged Property,"A staff member reported that the rear driver's side door, quarter panel and bumper were damaged while her vehicle was parked at the location.",1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
FIRE Alarm Malfunction,A fire alarm was activated by unknown cause.,2
PROPERTY Damaged Property,"A staff member reported that he stopped a University vehicle too close to a parking gate and as it opened it caught the vehicle's front license plate, causing it to bend.",1
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
EH&S Water Leak,Water was reported to be leaking onto the floor of a hallway and conference room at the location. The leak was determined to be coming from a janitor's closet where water was flowing from a hose attached to an open faucet into an overflowing bucket. The faucet was turned off and FMS personnel were requested to clean up the standing water.,3
BURGLARY Burglary-Attempted-Residential,A suspect opened the front door in an attempt to gain entry to the location and an intrusion alarm was activated. A resident then slammed the door closed and the suspect fled on foot.,3
PROPERTY Damaged Property,A patient was trapped inside a transport vehicle. LAFD was summoned and they were able to access the vehicle and free the patient.,1
SERVICE Injury Response,A patient tripped and fell resulting in her being taken in for treatment.,2
SERVICE Illness Response,A patient experiencing pain was relocated to the evaluation treatment clinic.,2
SERVICE Illness Response,A student experiencing abdominal pain was transported to a local hospital.,2
TRESPASS Trespassing,,3
ASSAULT Assault-Other Dangerous Weapon,A female student reported that an unidentified male bumped into her while crossing the street. No injuries.,4
THEFT-GRAND Theft Grand-Plain,Unknown suspects entered into several possible unlocked rooms and removed students personal property. No forced entry was discovered.,2
TRAFFIC Traffic Collision Without Injuries,A staff member reported left rear window damage to a university vehicle.,2
SERVICE Injury Response,A student injured himself while playing basketball.,2
THEFT-PETTY Theft Bicycle,A student reported his registered bicycle stolen.,2
THEFT-PETTY Theft Bicycle,A student reported his registered bicycle stolen.,2
SERVICE Welfare Check,DPS officers was asked to visit a student experiencing an health issue. The officers were able to get the student some immediate assistance.,2
PROPERTY Lost/Missing Property,A staff member reported a flashlight was missing or lost.,1
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
"HOMICIDE Attempt Murder, Non-Neg. Manslaughter",Officers responded to a report of a shooting near the location. A non-USC male was found to have sustained a gunshot wound and was transported to a local hospital for medical treatment. LAPD will handle the investigation.,5
SERVICE Injury Response,"A non-USC female was transported to a local hospital for medical treatment after falling and injuring her knee, nose and forehead.",2
THEFT-PETTY Theft Bicycle,A suspect removed a bicycle.,2
SERVICE Injury Response,A non-USC female was examined and released at the scene after falling and injuring her thumb and elbow.,2
TRAFFIC Parking Problem,A student's vehicle was immobilized due to multiple outstanding citations.,1
THEFT-PETTY Theft Petty-Plain,A suspect removed a pair of running shoes.,2
SERVICE Illness Response,A non-USC male was transported to a local hospital for medical treatment after complaining of difficulty breathing.,2
TRESPASS Trespassing,A student and three companions were arrested for trespassing at the location.,3
SERVICE Suspicious Circumstances,A staff member reported that following a fire alarm activation in a restroom at the location he observed another staff member exit the restroom and upon entering he detected the odor of vaping smoke.,2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
FIRE Alarm Malfunction,A fire alarm was activated due to a malfunction.,2
INCIDENT Domestic Dispute,A student and his girlfriend were involved in a verbal dispute outside the location.,2
TRAFFIC Traffic Collision-Bicycle,"A student on a bicycle was struck by a car door that was opened in his path, forcing him to stop. The rear wheel of the student's bicycle was then struck by a bus, causing him to fall to the ground. The student sustained multiple abrasions and complained of dizziness and he was transported to a local hospital for medical treatment.",2
PROPERTY Lost/Missing Property,A non-USC female reported her wallet missing.,1
SERVICE Injury Response,A student was transported to a local hospital for medical treatment after falling and injuring his head.,2
ALCOHOL Alcohol/Drug Overdose,A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
ALCOHOL Alcohol/Drug Overdose,A non-USC female was transported to a local hospital for medical treatment following an alcohol overdose.,3
ALARM RESPONSE Environmental Alarm,A carbon monoxide alarm was activated by natural gas from a stove that was accidentally left on in an apartment at the location. The apartment was ventilated and subsequently cleared for reentry.,3
SERVICE Illness Response,A student was examined and released at the scene after complaining of difficulty breathing.,2
OBSCENE ACTIVITY Indecent Exposure,A suspect was arrested for indecent exposure outside the location.,2
BURGLARY Burglary-Residential,A suspect removed a backpack.,3
THEFT-PETTY Theft Petty-Plain,A suspect removed a bicycle.,2
PROPERTY Damaged Property,A student reported that the front passenger side fender and axle arm were damaged while her vehicle was parked at the location.,1
SERVICE Suspicious Circumstances,"A suspect clogged two restroom sinks with feces and turned on the faucets, causing the sinks to overflow. FMS personnel were requested to unclog the sinks and clean up the water.",2
THEFT-PETTY Theft Petty-Plain,A suspect removed a cellular phone.,2
BURGLARY-MOTOR VEHICLE Burglary-Motor Vehicle,A suspect removed a GPS unit.,4
VANDALISM Vandalism-Misdemeanor,A suspect used unknown means to break an office window at the location.,2
