Summary,label
A non-USC male was transported within the facility for medical treatment after experiencing an allergic reaction to an unknown substance.,2
A suspect removed two televisions.,3
A suspect was arrested for prowling inside the location.,1
A student was cited to Judicial Affairs for underage possession of alcohol.,2
A fire alarm was activated from a pull station.,3
A welfare check was conducted on a student at the location after she sent a disturbing text message to a friend. The student was placed in contact with a counselor at the Student Counseling Center and she was subsequently cleared for release.,2
A suspect removed a skateboard.,2
A parking gate was damaged by unknown means.,1
A student was transported to a local hospital for medical treatment after injuring his wrist.,2
A suspect removed a bicycle.,2
A radiation alarm was activated by the contents of a trash bag.,3
A student was transported to a local hospital for medical treatment after experiencing an allergic reaction to food she had eaten.,2
A suspect removed a backpack.,2
"Unknown suspect gained access through a resident window while a student was sleeping. The suspect removed a laptop, backpack and keys.",2
A suspect was arrested for prowling around residences near the location and possession of burglary tools.,1
"A suspect removed two cameras, a cellular phone, two calculators, three pairs of shoes and miscellaneous documents.",3
A student reported her vehicle's right side mirror damaged.,1
A student was transported to a local hospital for medical treatment following an alcohol overdose,3
A student was transported to a local hospital for medical treatment after injuring his shoulder.,2
A suspect was arrested for removing merchandise from the location without paying for it.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A staff member reported receiving approximately forty annoying voice mail messages from a patient.,2
A suspect removed a bicycle.,2
"An office window was shattered at the location, possibly after being struck by a rock that was blown by a leaf blower.",1
An intoxicated student was examined and released into the care of her roommate.,2
A student was transported to a local hospital for medical treatment after experiencing complications from a prior head injury.,2
"A student driving her personal vehicle collided with a non-USC male driving his personal vehicle, causing unspecified damage.",2
An intoxicated student was examined and released into the care of a friend.,2
A fire alarm was activated by heat from a food warmer.,1
A suspect removed a package that was delivered to the location.,2
"A student reported that after purchasing a concert ticket from a subject on a classified ad web site she was unable to verify it's authenticity and attempted to get a refund, but the seller refused to comply.",2
A student reported that a non-USC male was observed by a witness tampering with the doors and windows of his vehicle and the subject is refusing to pay for the damage he caused.,3
A suspect removed a bicycle.,2
A parking meter was knocked off it's base by unknown means.,1
A suspect was arrested for removing merchandise from the location without paying for it.,2
FMS personnel responded to the location to free a student who was trapped in an elevator.,2
A suspect removed a bicycle.,2
An intoxicated female student was transported to a hospital.,3
A suspect removed a cellular phone.,2
A suspect removed a backpack.,2
"Three suspects approached a student near the location and one of them snatched her cellular phone from her hand. The suspects then fled on foot and disappeared from sight. Three suspects were detained by officers and the phone was recovered, but the student was unable to positively identify the subjects and they were subsequently released.",3
A staff member reported that her office has been receiving numerous annoying email messages from a parent regarding the results of an academic investigation of his son.,2
A DPS officer reported that he and other staff members were advised by a nurse that they had been exposed to tuberculosis while working at the location.,2
A male visitor fell from his bicycle injuring his right hand. He declined medical assistance.,2
A student reported his passport missing.,1
A radiation alarm was activated by the contents of a trash bag.,3
A non-USC male died of unknown cause in a room at the location.,5
Water leaking from a washing machine flooded the lobby of the location. The water to the machine was turned off and FMS personnel were requested to clean up and conduct repairs.,3
An employee was arrested for removing merchandise from the location without paying for it.,2
"A student was struck by a vehicle while riding his bicycle near the location. The student reported minor soreness to his shoulder, but he declined medical treatment.",2
An intoxicated student was examined and released into the care of a friend.,2
A suspect removed a backpack.,2
A fire alarm was activated by smoke from burnt food.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A suspect used unknown means to make an unauthorized purchase on a student's credit card account.,3
Surveillance video captured a student stealing merchandise. The student was issued a citation and released.,2
A suspect removed a bicycle.,2
A welfare check was conducted on a student at the location after a faculty member reported receiving an email message from him that indicated he may attempt to harm himself. The student was unharmed when contacted by officers and he was cleared for release after speaking with a counselor at the Student Counseling Center.,2
A suspect removed a bicycle.,2
A student was examined and released at the scene after complaining of difficulty breathing.,2
A student was cited to Judicial Affairs for possession of two fake Id's.,2
A student was transported to SHC for medical treatment after injuring her ankle.,2
A staff member was transported to a local hospital for medical treatment after losing consciousness.,2
A suspect removed an external hard drive.,2
A suspect removed a backpack.,2
"A suspect approached a student who was walking near the location and demanded his property while brandishing a knife. Fearing for his safety, the student fled on foot and the suspect did not pursue him.",3
A fire alarm was activated by smoke from burnt food.,1
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A non-USC female was transported to a local hospital for medical treatment after suffering a possible stroke.,2
A student reported that while she was working at the information desk she received a suspicious call from a subject inquiring about events at the location and it caused her concern.,2
Officers responded to a report of a patient behaving erratically at the location. The officers were able to calm the patient and after it was determined that he did not meet the criteria for a psychological hold he was escorted out of the building to be transported home by a car service.,1
A student was cited to Judicial Affairs for throwing a cup of alcohol that nearly struck a passing DPS officer.,2
An intoxicated student was examined and released into the care of her roommate.,2
A staff member was transported to a local hospital for medical treatment after complaining of chest pains.,2
A department issued laptop computer was damaged by unknown means.,1
A suspect removed a bicycle.,2
Water was reported to be leaking onto the floor of a hallway and conference room at the location. The leak was determined to be coming from a janitor's closet where water was flowing from a hose attached to an open faucet into an overflowing bucket. The faucet was turned off and FMS personnel were requested to clean up the standing water.,3
An intoxicated student was examined and released into the care of a friend.,3
A bike theft suspect was arrested for an outstanding warrant.,2
A student reported that he wired money to a subject from whom he intended to sublet an apartment and he subsequently learned from the property manager that there was no such person residing in the building.,2
A fire alarm was activated by an accidental smoke detector activation.,1
A student was transported to SHC for medical treatment after sustaining a cut to her finger.,2
A student was cited to Judicial Affairs for smoking marijuana in his dorm room at the location.,1
A suspect removed a USC parking permit.,2
A student reported his unattended laptop stolen.,2
A student was examined and released to her mother after injuring her shin.,2
Officers responded to a report of a shooting near the location. A non-USC male was found to have sustained a gunshot wound and was transported to a local hospital for medical treatment. LAPD will handle the investigation.,5
A trespassing suspect was arrested for an outstanding warrant.,2
A suspect approached a student standing near the location and snatched his cellular phone from his hand. The suspect then fled on foot and disappeared from sight.,3
An intoxicated student was examined and released into the care of his roommate.,3
"A staff member drove a University tram into a parked University tram, causing unspecified damage.",2
A suspect removed luggage.,2
An intoxicated student was examined and released into the care of her roommate.,2
A student reported that her vehicle was struck by another vehicle while it was parked near the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,3
A suspect removed a bicycle.,2
"A non-USC female drove her vehicle into a parking bollard, causing minor damage.",2
A parking control arm lowered and struck a student in the face and chest as she was walking past it. The student did not desire medical treatment.,2
A trespassing suspect was arrested for an outstanding warrant.,2
"A suspect removed a cellular phone, a wallet and keys from a backpack.",2
A suspect removed a pair of headphones.,2
A student was transported to a local hospital for medical treatment after complaining of a severe headache and a fever.,2
A suspect removed a bicycle.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A suspect was arrested for public indecent exposure. Addition charges were added for possession of a controlled substance.,2
A student was examined and released at the scene after fainting.,2
A student was examined and released at the scene after falling and hitting her head.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A fire was reported in a cardboard trash can at the location. Officers responded and used a fire extinguisher to put out the fire.,2
A suspect removed the front wheel from a bicycle.,2
A student was transported to a local hospital for medical treatment after injuring his shoulder.,2
A suspect removed a laptop computer and a cellular phone.,3
A bike theft suspect was arrested for two outstanding warrants.,2
A fire alarm was activated by unknown cause.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A staff member reported that a parking control arm was damaged when it was struck by an unidentified bicyclist.,1
A suspect used an unknown object to scratch the paint on the driver's side of a staff member's vehicle while it was parked at the location.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
"A suspect was arrested for being in possession of a stolen electric scooter, possession of a controlled substance, possession of an illegal knife and an outstanding warrant.",3
Safety Office personnel responded to investigate a report of the smell of gas in a stairwell at the location. The smell was subsequently determined to be exhaust fumes from a vehicle in the parking garage and it dissipated upon ventilating the stairwell.,1
A prowling suspect was arrested for possession of a controlled substance.,3
"A staff member drove a University vehicle into a concrete pillar, causing moderate damage.",2
An intoxicated student was examined and released at the scene.,2
A suspect was arrested for removing merchandise from the location without paying for it.,2
"An unidentified male drove a vehicle through a parking control arm, causing it to break off it's base.",3
Two suspects were arrested for spray painting graffiti on a wall near the location.,3
A suspect used unknown means to make several unauthorized purchases on a student's credit card account.,2
A suspect was arrested for spray painting graffiti on a wall near the location.,2
A suspect was arrested for removing a laptop computer from an apartment at the location.,3
Six students were cited to Judicial Affairs for underage possession of alcohol and four of them were also cited for possession of fake Id's.,2
A student's vehicle was immobilized for displaying a forged USC parking permit.,1
A call center operator at the location reported receiving a phone call from a suspect who made a statement about shooting someone at LAC+USC Hospital. The incident was referred to LASD for investigation.,2
A suspect removed a bicycle.,2
A suspect removed a light that was mounted on a bicycle.,2
A fire alarm was activated by dust from a heating system.,1
A suspect was arrested for exposing himself to a non-USC female inside the location.,2
A student reported that his vehicle was struck by another vehicle while he was driving near the location and when he stopped to exchange information the driver of the second vehicle refused to identify himself and subsequently left the scene.,3
A suspect used unknown means to gain entry then tore open the steering column during an unsuccessful attempt to start a student's vehicle.,3
A student reported her USC ID and a set of keys missing.,1
A welfare check was conducted on a non-USC female at the location who appeared lost and disoriented possibly due to being under the influence of a controlled substance. The female was examined by paramedics and subsequently cleared for release.,2
A suspect removed currency.,2
A student transported herself to SHC for medical treatment after injuring her leg and arm.,2
"A staff member drove a University vehicle into a curb, puncturing the front passenger side tire and damaging the wheel rim.",2
A suspect removed a cellular phone.,2
An intoxicated student was examined and released into the care of his RA.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A faculty member was transported to a local hospital for medical treatment after complaining of dizziness and numbness in his extremities.,2
A contractor reported that the trunk was dented and scratched while his company vehicle was parked at the location.,1
"A student drove his vehicle into a non-USC male's vehicle, causing moderate damage. The male sustained a lower back injury and was examined and released at the scene.",3
"A student reported receiving a phone call from two suspects posing as immigration officers who attempted to get him to pay for ""bail"" by purchasing gift cards and then providing the security numbers to the subjects in order to avoid incarceration for an immigration violation. The student concluded that the call was a scam and did not comply.",2
A student reported that the front bumper was damaged while her vehicle was parked at the location.,1
A suspect removed a pair of computer speakers.,2
A suspect removed mail from a mailbox.,2
A trespassing suspect was arrested for possession of a controlled substance and a parole violation.,3
A suspect removed a projector and a speaker.,3
A suspect removed a bicycle.,2
A carbon monoxide alarm was activated by a malfunctioning detector.,3
A fire alarm was activated by unknown cause.,2
A battery suspect was arrested for an outstanding warrant.,2
A student committed suicide.,5
A student was transported to a local hospital for medical treatment after suffering an allergic reaction to food she had eaten.,2
A suspect removed the wheels from a bicycle.,2
A student reported that a company offered him employment and subsequently sent him a check which he was instructed to,2
A staff member reported a set of building floor plans missing.,1
A suspect who was observed tampering with parking meters near the location was transported to a local hospital for medical treatment after he was determined to be under the influence of a controlled substance.,2
A student reported his USC ID missing.,1
A student reported that she was awakened by noise outside her bedroom window and then observed a suspect jump over a fence onto the property. The student screamed and the suspect fled on foot in an unknown direction.,2
A bike theft suspect was arrested for four outstanding warrants.,2
A juvenile was examined and released into the care of her mother after suffering an anxiety attack.,2
A suspect used a marking pen to draw graffiti on a wall on the top floor of the location.,2
A suspect detained for trespassing was arrested for an outstanding warrant.,2
A suspect was arrested for removing merchandise from the location without paying for it.,2
A staff member reported a University vehicle key missing.,1
A student reported that a suspect reached under her dress and groped her while she was walking near the location.,4
A student and former boyfriend were engaged in a verbal and physical altercation resulting in injuries.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A suspect removed a package that was delivered to the location.,2
A staff member reported his desk fan missing.,1
A staff member reported that a laptop computer mounted in a University vehicle was damaged by unknown means.,1
A University electric cart sustained unspecified damage while several juveniles were joyriding in it inside the location.,1
A non-USC male was examined and released at the scene after falling inside a restroom at the location.,2
A staff member was transported to SHC for medical treatment after suffering an anxiety attack.,2
A patient was losing consciousness during a dental procedure. LA Paramedics examined the patient and released him. The patient declined additional medical attention.,2
A staff member reported that his vehicle was struck by another vehicle while it was parked near the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,3
A student reported receiving a phone call from a suspect who threatened to report her to immigration officials for allegedly having incomplete immigration documents if she didn't pay him money. The student did not comply.,2
A toddler was transported to a local hospital for medical treatment after injuring his finger.,2
A suspect removed a gym bag.,2
A student was examined and released into the care of her mother after suffering a panic attack.,2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
"A student was struck by a vehicle while crossing the street at the location. The student sustained an injury to her knee, but she did not desire medical treatment.",2
A suspect was arrested for prowling in the bike racks at the location.,1
A suspect shot the door of a University tram with a paint ball gun as it was being driven near the location.,2
A staff member and a non-USC female both reported being sexually harassed by a non-USC male inside the location.,3
A student was struck by a vehicle while riding his bicycle near the location. The student sustained a cut to his arm and was treated and released at the scene.,3
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A suspect approached a non-USC male from behind as he was walking to his vehicle outside the location and stabbed him twice with a possible steak knife while demanding the male's money. The male refused to comply and was able to enter his vehicle to get away from the suspect. The suspect then punctured the driver's side tires on the male's vehicle before walking away.,4
A non-USC male was arrested for assaulting his wife at the location.,2
Two suspects were arrested for prowling at the location.,1
A non-USC female reported that a suspect threw several eggs at her residence.,2
A suspect who was observed harassing passersby near the location was arrested for an outstanding warrant and for damaging a University vehicle while in custody.,2
"A student reported that a suspect grabbed her buttocks while she was shopping inside the location. The student did not report the incident until she finished shopping and returned to her residence, so officers were unable to conduct a search for the suspect.",4
"A staff member backed a University vehicle into a boulder, causing minor damage.",1
A suspect in a wheelchair who was panhandling inside the location elbowed a student in the chest without provocation then ran over her foot as he fled in an unknown direction.,3
A radiation alarm was activated by the contents of a trash bag.,3
A suspect was arrested for trespassing after a store manager asked him to leave the location and he refused to comply.,3
A suspect removed currency from a purse.,2
A suspect removed an unknown quantity of basketball and volleyball equipment.,3
A student was transported to a local hospital for medical treatment after suffering an allergic reaction to an unknown substance.,2
A suspect was arrested for punching a DPS officer in the shoulder.,3
A suspect removed a wallet.,2
A staff member reported that a letter with a threat written on the envelope was mailed to the location.,2
A suspect removed a USC parking permit.,2
"A non-USC male backed his vehicle into a parking meter and a staff member's parked vehicle, causing minor damage.",2
A staff member was examined and released at the scene after complaining of chest pains.,2
A suspect in a vehicle shot a non-USC male in the face with a BB gun while he was walking near the location. The male ran onto campus for help and was subsequently transported to a local hospital for medical treatment.,4
A fire alarm was activated by a malfunction.,2
A suspect removed a cellular phone.,2
"A staff member drove a University vehicle into a parking bollard, causing minor damage.",2
A suspect removed miscellaneous clothing.,3
A staff member was transported to a local hospital for medical treatment after falling and injuring her wrist and ankle.,2
"A welfare check was conducted on a student at the location after she made statements about harming herself to another student. The student was found to be intoxicated but unharmed, and she was left in the care of her roommate after declining transportation for medical treatment.",2
A student reported that her boyfriend broke her phone and pushed her onto a bed during an argument.,2
A student suffering from possible food poisoning was transported to a local hospital for medical treatment.,2
A nurse reported that a combative patient kicked him in the chest while he was attending to the subject. The nurse was not injured and did not desire criminal prosecution of the matter.,2
"A suspect removed a pair of sunglasses, art supplies and miscellaneous documents.",2
A student reported his new packaged Ray Bans glasses were stolen from his door step.,2
A student was transported to a local hospital for medical treatment after sustaining a cut to his chin.,2
A student reported that another student has made multiple threatening comments about her and her friends that have caused her concern.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
"A staff member drove a University tram into a pole, causing unspecified damage.",2
A juvenile was examined and released to seek medical treatment with her parents after injuring her ankle.,2
A suspect removed a bicycle.,2
A suspect removed two packages left outside the location.,2
A non-USC male was transported to a local hospital for medical treatment after complaining of chest pains.,2
A student was transported to a local hospital for medical treatment after falling and injuring his elbow and shoulder.,2
A student reported that she was sexually assaulted.,5
"A staff member drove a University vehicle over a curb, damaging the rear driver's side quarter panel.",2
Water was reported to be leaking from the ceiling of a basement restroom at the location. The leak was determined to be coming from a broken water valve and FMS personnel responded to clean up and conduct repairs.,3
A staff member reported that a suspect posted multiple threatening statements on his department's social media page.,2
A suspect smashed the rear driver's side window of a student's vehicle.,2
A trespassing suspect was arrested for an outstanding warrant.,2
"A student backed his vehicle into a non-USC male's parked vehicle, causing minor damage.",2
An intoxicated student was cited to Judicial Affairs for attempting to force his way into another student's room at the location.,1
A student reported that she has been the subject of on-going harassment by students living in a neighboring apartment.,1
A student was cited to Judicial Affairs for under age possession of alcohol and belligerent behavior with officers who were conducting an investigation at the location.,1
A suspect removed a bicycle.,2
A non-USC male was arrested for assaulting his live in girlfriend.,3
A student was cited to Judicial Affairs for uncooperative behavior with DPS officers who responded to his apartment following multiple complaints of loud music at the location.,1
Officers responded to a report of a student behaving erratically at the location. The student admitted that he was intoxicated and had thrown his refrigerator onto the front lawn because he was angry with his roommates. The student agreed to spend the night elsewhere and left the residence without further incident.,1
A juvenile was examined and released to her mother after falling and injuring her shoulder and knees.,2
"A staff member drove a University tram into an unidentified subject's parked vehicle, causing unspecified damage.",2
A non-USC female was examined and released to proceed to her pre scheduled doctor's appointment after falling inside the location.,2
A suspect removed a bicycle.,2
A suspect removed a bicycle.,2
Unknown suspect(s) used fraudulent payroll checks to cash in at various banks and financial institutions in multiple states.,2
"A student reported that his roommate, also a student, urinated on him while he was sleeping.",3
A non-USC female was struck by a vehicle while crossing the street at the location. The female sustained unspecified injuries and was transported to a local hospital for medical treatment.,2
"A suspect intentionally disconnected a water line from a sink, causing water to flood a restroom in the basement of the location. FMS personnel were requested and responded to clean up and conduct repairs.",2
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A faculty member reported that a non-USC female with whom he used to work attempted to contact him while he was teaching a class at the location and it caused him concern.,2
A staff member reported a flashlight missing from a University vehicle.,1
A staff member reported receiving a threatening email message from an unidentified subject.,2
A suspect removed the driver's side view mirror.,2
A radiation alarm was activated by the contents of a trash bag.,3
A student was transported to a local hospital for medical treatment following an alcohol overdose.,3
A student who was reported to have been masturbating inside a vehicle parked at the location was detained for questioning and released.,2
"A non-USC female was detained for shoplifting at the location. The merchandise was recovered and the female was released after receiving a ""stay away"" warning.",2
A suspect removed a cellular phone.,2
A staff member was transported to a local hospital for medical treatment after aggravating a preexisting injury.,2
A student reported that the rear passenger side taillight was damaged while his vehicle was parked at the location.,1
A suspect removed currency.,2
A visitor reported she discovered her vehicle's rear bumper damaged.,1
A suspect removed a bicycle.,2
A suspect removed a backpack.,2
A staff member reported that a patient struck her in the arm.,3
A suspect removed a pair of headphones.,2
A suspect removed a wallet.,2
A staff member was examined and released at the scene after sustaining an injury to her ear.,2
A faculty member reported that her vehicle was struck by another vehicle while it was parked at the location and the driver of the second vehicle left without reporting the incident or leaving any contact information at the scene.,3
A staff member reported his USC parking permit missing.,1
A radiation alarm was activated by the contents of a trash bag.,3
A staff member was examined and released at the scene after complaining of chest pain and difficulty breathing.,2
A non-USC male reported his skateboard missing.,1
A suspect was detained for questioning after he was observed drinking alcohol inside a vehicle parked illegally in the alley behind the location and the vehicle was subsequently towed to an impound yard when it was determined that he did not have a valid driver's license.,1
A student reported that an on-going feud between his family and his girlfriend's family has caused him to fear for his safety.,2
"A non-USC female was transported within the facility for medical treatment after falling and injuring her chin, chest and shoulder.",2
A suspect removed a backpack.,2
A suspect used an unknown object to scratch the paint on the passenger side of a non-USC female's vehicle.,2
A faculty member reported that the rear bumper was damaged while her vehicle was parked at the location.,1
A non-USC female was examined and released at the scene after injuring her foot.,2
An intoxicated student was examined and released at the scene after he walked into a wire that was strung across the sidewalk in front of the location and fell to the ground.,2
"A staff member reported receiving a package at her residence from a former student who was issued a University ""stay away"" letter due to his continued harassment of staff members at the location and it has caused her to fear for her safety.",2
A fire alarm was activated by cigarette smoke.,2
A student was struck by a golf cart while walking near the location. The student sustained a concussion and injuries to both knees and was transported to a local hospital for medical treatment.,2
